Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
EU taxation capabilities and the way forward towards institutional progress in Europe,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-07-05,2021-07-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,World Economics Association,
World Economics Association (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Kapeller, Jakob",,2017-01-01,2018-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,World Economics Association,
Women and Gender Forum Commitee of the Society for the Advancement of Socio-Economics (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Hager, Theresa",,2022-11-01,2023-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Women and Gender Forum Commitee of the Society for the Advancement of Socio-Economics,
Moderation zu Werner Rügemer: Ratingagenturen,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Nordmann, Jürgen",,2012-05-11,2012-05-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Wissensturm Linz,
"Moderation zum Vortrag ""Wem gehört die Welt? Zur Wiederentdeckung der Gemeingüter"" von Silke Helfrich",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Nordmann, Jürgen",,2012-03-21,2012-03-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Wissensturm Linz,
"Moderation zum Vortrag ""West-End. Das Scheitern der Moderne als kapitalistisches Patriarchat und die Logik der Alternativen von Univ.Prof. Claudia von Werlhof",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Nordmann, Jürgen",,2012-03-14,2012-03-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Wissensturm Linz,
Die Funktionslogik von Think-Tanks in neoliberalen Machtapparaten,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Nordmann, Jürgen",,2014-02-04,2014-02-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Wissenschaftszentrum Berlin für Sozialforschung,
"Kapitalmacht in der Praxis: Lobbyismus, Spenden und Medien: Wie Besitzverhältnisse und Informationssubstitute Medien beeinflussen",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2025-10-28,2025-10-28,,Socio-Ecological Transformation Lab (+2 weitere),Wirtschaftsuniversität Wien,
"Kapitalmacht in der Praxis: Lobbyismus, Spenden und Medien: Wie Besitzverhältnisse und Informationssubstitute Medien beeinflussen",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Stäudelmayr, Alexander",,2025-10-28,2025-10-28,,Socio-Ecological Transformation Lab (+2 weitere),Wirtschaftsuniversität Wien,
Industriepolitik als Ausweg aus der Krise?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-05-27,2025-05-27,,Socio-Ecological Transformation Lab (+1 weitere),Wirtschaftsuniversität Wien,
Keynotespeaker zum Thema Mythos Markt – Die Wichtigkeit von Narrativen und von diskursiven Netzwerken,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2014-11-21,2014-11-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Wirtschaftsuniversität Wien,
"Relevanz, Realität, Modelle. Was braucht die Ökonomie?",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2014-10-29,2014-10-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Wirtschaftsuniversität Wien,
Wie Bilder und Metaphern Wirtschaft beeinflussen: mit Beispielen vom 18. Jahrhundert bis zum Neoliberalismus,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2014-10-23,2014-10-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Wirtschaftsuniversität Wien,
Vom mittelalterlichen Dienst an Gott zum neoklassischen Produktionsfaktor. Ein Überblick über die Kulturgeschichte von Arbeit und Zeit,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2014-05-07,2014-05-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Wirtschaftsuniversität Wien,
Netzwerke von Überreichtum in Österreich,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2024-04-11,2024-04-11,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),"Wirtschaftspolitische Akademie, WU Wien",
It’s the economy stupid – Was ist eigentlich die Wirtschaft?,Science-to-public,Vortrag oder Präsentation,Keynote Speaker,"Kapeller, Jakob",,2025-09-01,2025-09-01,,School of Social Sciences and Humanities (SSSH) (+1 weitere),Wiener Volkshochschule,
Liberalismus und Neoliberalismus,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Nordmann, Jürgen",,2011-10-15,2011-10-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Volkshochschule Linz,
Podiumsdiskussion zum Film Too big to Tell von Johanna Tschautscher,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2014-07-09,2014-07-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Voest Alpine Stahl Linz,
Verein für Socialpolitik (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Gräbner-Radkowitsch, Claudius",,2019-01-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Verein für Socialpolitik,
Präsentation der Zwischenergebnisse der Studie „Mobilitätswende produzieren“,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Cserjan, Lukas",,2025-01-24,2025-01-24,,Socio-Ecological Transformation Lab (+1 weitere),Unternehmen der Bahnindustrie (möchte anonym bleiben),
Präsentation der Zwischenergebnisse der Studie „Mobilitätswende produzieren“,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-01-24,2025-01-24,,Socio-Ecological Transformation Lab (+1 weitere),Unternehmen der Bahnindustrie (möchte anonym bleiben),
Pluralismus in der Ökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2023-09-09,2023-09-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,University of Zürich Zurich Switzerland,
Modeling power laws in economics?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2023-11-15,2023-11-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,University of Washington,
Model-Platonism on Economics – a Popperian view on Mainstream Economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2025-11-01,2025-11-01,,School of Social Sciences and Humanities (SSSH) (+1 weitere),University of the Witwatersrand,
Kritische Betrachtung der Entwicklung der EU-Agrarpolitik,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2014-11-12,2014-11-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,University of Kassel,
Paradigm lost? Herausforderungen der Ökonomik nach der Krise,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2017-04-26,2017-04-26,,Institut für Volkswirtschaftslehre (+1 weitere),University of Kassel,
"Europäische Agrarpolitik. Institutionen, Innovationen, Interpretationen.",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2014-11-12,2014-11-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,University of Kassel,
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-11-04,2015-11-04,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),University of Göttingen,
Past and future of pluralism in economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2020-11-23,2020-11-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,University of Cambridge,
Pluralism in Economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2025-09-01,2025-09-01,,School of Social Sciences and Humanities (SSSH) (+1 weitere),Universität Zürich,
Pluralism in Economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-02-01,2024-02-01,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Zürich,
Pluralism in economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-10-07,2021-10-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Zürich,
Pluralism in Economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2023-12-01,2023-12-01,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität zu Köln,
Pluralismus in der Ökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2023-12-13,2023-12-13,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität zu Köln,
Konzernmacht in globalen Güterketten,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2025-03-01,2025-03-01,,School of Social Sciences and Humanities (SSSH) (+1 weitere),Universität Wien,
Das globale Produktionsnetzwerk der österreichischen Bahnindustrie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Eder, Julia Theresa",,2025-05-12,2025-05-12,,Socio-Ecological Transformation Lab (+1 weitere),Universität Wien,
Das Menschenbild moderner Ökonomie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2022-05-25,2022-05-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Wien,
Konsequenzen der Wettbewerbsorientierung von und an Universitäten. Eine Perspektive der interdisziplinären Wettbewerbsforschung,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2023-01-12,2023-01-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Wien,
Finanzialisierung und globale Ungleichheit,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2020-12-18,2020-12-18,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Wien,
Warum braucht es Pluralismus in den Wirtschaftswissenschaften?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Strunk, Birte",,2021-06-09,2021-06-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Wien,
Warum braucht es Pluralismus in den Wirtschaftswissenschaften?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Gräbner-Radkowitsch, Claudius",,2021-06-09,2021-06-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Wien,
Economists' Narratives and Metaphors of the Financial Crisis,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2017-11-30,2017-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Wien,
Spezifische Aspekte ökonomischen Modelldenkens,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2016-04-26,2016-04-26,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Wien,
The micro-macro link in heterodox economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-11-17,2021-11-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Tübingen,
Die Rolle pluraler Ökonomik in der ökonomischen Bildung,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-05-05,2015-05-05,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Tübingen,
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2014-11-05,2014-11-05,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Tübingen,
Die Spaltung als Modell: Europas Zerfall als Krise der Wirtschaftstheorie,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2016-11-10,2016-11-10,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Tübingen,
"Zur aktuellen agrarischen Transformationsforschung – Profile, Zugänge, Kernauffassungen",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2023-06-21,2023-06-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",
Agrarische sozio-ökonomische Transformation und Transformationswissen,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2023-07-04,2023-07-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",
Elitetheorien und Demokratieverständnis. Auffassungen und Vorgänge vor und nach 1945,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2023-04-18,2023-04-18,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",
Die deutsche universitäre Agrarsoziologie als Wissenschaftsdisziplin,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2022-12-06,2022-12-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",
Agrarpolitik und Agrarökonomie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2022-06-14,2022-06-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Universität Passau, Bereich Soziologie mit Schwerpunkt Techniksoziologie und nachhaltige Entwicklung",
"Bodendaten und Bodenpolitik im Agrarbereich: Bodendaten (Reichsbodenschätzung), Bodennutzungsdaten (INVEKOS; BMEL und Testbetriebsnetz) sowie Bodenbelastung (BMVU)",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2023-12-13,2023-12-13,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Passau,
Verschweigen als gewolltes Nichtwissen in der Wissenschaft: Strategien in Umbruchzeiten,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2022-10-26,2022-10-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Passau,
Performativity: Vom Entstehen von agrarischen Verarbeitungsstrukturen am Beispiel Schlachthöfe,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2022-06-15,2022-06-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Passau,
Pluralism in Economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-10-01,2024-10-01,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Köln,
Ernährungssouveränität,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2011-06-09,2011-06-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Kassel,
Performativität und Ökonomik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2018-06-21,2018-06-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Jena,
Was ist heterodoxe Ökonomie?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2016-12-15,2016-12-15,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Innsbruck,
Performativity - ein neues Konzept zur Analyse des Einflusses von Ökonomen?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2011-11-17,2011-11-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Hamburg,
Ranglisten und andere Evaluationskriterien – die Macht der Wissenschaftsstatistik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2014-12-18,2014-12-18,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Hamburg,
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2014-10-23,2014-10-23,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Hamburg,
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2014-10-21,2014-10-21,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Graz,
The social philosophy of globalized markets,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2016-04-07,2016-04-07,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Graz,
Konversionsstrategien in der Landwirtschaft: Agrarische sozial-ökologische Transformation und die Landwirte,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2024-02-26,2024-02-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Göttingen,
Europäische Agrarpolitik,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2015-06-22,2015-06-22,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität für Bodenkultur Wien,
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-06-01,2015-06-01,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universität Erfurt,
What is heterodox economics?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-10-27,2021-10-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Den Haag,
Philosophical perspectives on moral erosion in markets,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-12-01,2024-12-01,,School of Social Sciences and Humanities (SSSH) (+1 weitere),Universität Bonn,
Ökonomik als soziale Physik – Von der Moralwissenschaft zum Naturalismus,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2013-10-29,2013-10-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Bayreuth,
Die Österreichische Schule im Neoliberalismus,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Nordmann, Jürgen",,2011-05-23,2011-05-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Bayreuth,
Mendelejews Traum – Faktuale und fiktionale Komponenten einer Wissenschaftsgeschichte,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2017-05-26,2017-05-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Universität Augsburg,
Pluralism in Economics,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-09-02,2015-09-02,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Universidad de Chile,
Perspektiven einer pluralen Ökonomik,,Gutachtertätigkeiten,Gutachter*in,"Hirte, Katrin",,2017-08-01,2017-08-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Perspektiven einer pluralen Ökonomik,,Gutachtertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2017-04-01,2017-04-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Perspektiven einer pluralen Ökonomik,,Gutachtertätigkeiten,Gutachter*in,"Hirte, Katrin",,2017-04-01,2017-04-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Evangelisches Studienwerk Villigst,,Gutachtertätigkeiten,Gutachter*in,"Hirte, Katrin",,2022-12-01,2022-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Israel Science Foundation (ISF),,Gutachtertätigkeiten,Gutachter*in,"Kapeller, Jakob",,2022-03-01,2022-03-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Laudes Foundation,,Gutachtertätigkeiten,Gutachter*in,"Gräbner-Radkowitsch, Claudius",,2022-10-01,2022-10-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
DFG-Einzelmaßnahme,,Gutachtertätigkeiten,Gutachter*in,"Gräbner-Radkowitsch, Claudius",,2022-11-01,2022-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Routledge Frontiers of Political Economy Book Series,,Gutachtertätigkeiten,Gutachter*in,"Pühringer, Stephan",,2022-07-01,2022-07-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Handbook of Complexity Economics,,Gutachtertätigkeiten,Gutachter*in,"Gräbner-Radkowitsch, Claudius",,2022-07-01,2022-07-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Marietta Blau Stipendium,,Gutachtertätigkeiten,Gutachter*in,"Gräbner-Radkowitsch, Claudius",,2022-05-01,2022-05-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Routledge Political Economy Book Series,,Gutachtertätigkeiten,Gutachter*in,"Pühringer, Stephan",,2019-02-01,2019-02-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Sozioökonomische Bildung und Wissenschaft,,Gutachtertätigkeiten,Gutachter*in,"Pühringer, Stephan",,2019-06-05,2019-06-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Themenband GSÖBW,,Gutachtertätigkeiten,Gutachter*in,"Pühringer, Stephan",,2019-06-01,2019-06-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Joan Robinson Prize EAEPE,,Gutachtertätigkeiten,Gutachter*in,"Pühringer, Stephan",,2021-06-01,2021-06-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
"Routledge, Frontiers of Political Economy",,Gutachtertätigkeiten,Gutachter*in,"Pühringer, Stephan",,2023-02-01,2023-02-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,unbekannt/unknown,
Der Soziologe Robert K. Merton: Alles misslingt nach Plan,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-11-19,2021-11-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,SWR2 WISSEN,
Gefahren der Vermögenskonzentration für unsere Demokratie,Science-to-public,Vortrag oder Präsentation,Keynote Speaker,"Pühringer, Stephan",,2026-02-11,2026-02-11,,Socio-Ecological Transformation Lab (+2 weitere),Stadtbibliothek St. Pölten,
Corona-Krise und EU-Wiederaufbauplan: Ein ‚fiskalpolitischer Durchbruch‘ für Europa?,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-02-20,2021-02-20,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,SPD Bayern,
"Populismus, Demagogie und die „Wut von unten“",Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2016-12-21,2016-12-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,soziologieblog.hypotheses.org,
Society for the Advancement of Socio-Economics (SASE) (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Hornykewycz, Anna",,2025-01-01,2025-12-31,,Socio-Ecological Transformation Lab (+1 weitere),Society for the Advancement of Socio-Economics (SASE),
Ab wann ist jemand reich?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2017-11-23,2017-11-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,science.orf.at,
Wie funktioniert Wettbewerb?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2019-07-12,2019-07-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,schroedingerskatze.at - Der österreichische Wissenschaftsblog,
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Aistleitner, Matthias",,2018-01-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,SASE (Society for the Advancement of Socio-Economics),
