title,date,type,id,person,citation,invited-by,original-title,place
How should we deal with the budgetary costs due to the Covid-19 crisis?,25.08.2021,Eingeladener Vortrag an anderen Institutionen,34403,Heimberger P.,", Österreich, 25.08.2021",,Austrian trade union federation,Invited participation in a panel discussion
Why the fiscal rules should be reformed: Output gap estimates and fiscal policy in Italy,12.07.2021,Eingeladener Vortrag an anderen Institutionen,34404,Heimberger P.,", Italien, 12.07.2021",,"Event on the EU’s fiscal rules followed by a panel discussion with representatives of different parties from the Draghi government, Rome",
Heterodox Economics and Economic Criticism,08.07.2021,Eingeladener Vortrag an anderen Institutionen,33676,Kapeller J.,", Deutschland, 08.07.2021",,,DFG Research Network on Economic Criticism
Italy and Europe will rise or fall together Participation in a panel discussion,24.06.2021,Eingeladener Vortrag an anderen Institutionen,34407,Heimberger P.,", Österreich, 24.06.2021",,"International Weekly Seminar, Le Grand Continent",
Italy - Europe’s basket case?,15.06.2021,Eingeladener Vortrag an anderen Institutionen,34408,Heimberger P.,", Deutschland, 15.06.2021",,Forum New Economy,Berlin
Fiskalpolitik und europäischer Integrationsprozess,11.05.2021,Eingeladener Vortrag an anderen Institutionen,34410,Heimberger P.,", Österreich, 11.05.2021",JEF Münster NRW,,Online (geplant in DEU)
Corona-Krise und EU-Wiederaufbauplan: Ein ‚fiskalpolitischer Durchbruch‘ für Europa?,20.02.2021,Eingeladener Vortrag an anderen Institutionen,34421,Heimberger P.,", Deutschland, 20.02.2021",SPD Bayern,,München
Outputlücken-Schätzungen und Fiskalpolitik im Kontext der Covid19-Krise,18.02.2021,Eingeladener Vortrag an anderen Institutionen,34423,Heimberger P.,", Deutschland, 18.02.2021",Bundesministerium für Wirtschaft und Energie Deutschland,,Berlin
Past and future of pluralism in economics,29.01.2021,Eingeladener Vortrag an anderen Institutionen,33682,Kapeller J.,", Österreich, 29.01.2021",Economic Commission for Latin America and the Caribbean (ECLAC),,online (geplant in CHL)
Nach „Koste es was es wolle“: Eine neue Ära in der Ökonomie?,27.01.2021,Eingeladener Vortrag an anderen Institutionen,34424,Schütz B.,", Österreich, 27.01.2021","Club Research, in Kooperation mit der AK-Wien und der Stadt Wien",,Teilnahme Podiumsdiskussion
"Country capabilities, product complexity and finance in the EU",05.01.2021,Eingeladener Vortrag an anderen Institutionen,34425,Gräbner-Radkowitsch C.,", Vereinigtes Königreich, 05.01.2021",,Rebuilding Macroeconomics Globalization Hub Conference,
Der Feind im Inneren – Das alte Dilemma des Liberalismus,04.12.2019,Eingeladener Vortrag an anderen Institutionen,31388,Kapeller J.,", Österreich, 04.12.2019",,18. IT- & Beratertag der Wirtschaftskammer Österreich,
Gesellschaftliche Verantwortung der Wissenschaft,21.11.2019,Eingeladener Vortrag an anderen Institutionen,31382,Kapeller J.,", Deutschland, 21.11.2019",Friedrich-Ebert-Stiftung Berlin,Fachkonferenz Wissenschaft in Verantwortung,Berlin
Funktionale Konstrukte von Bevölkerung im Kontext der „Agrar- versus Industriestaatsdebatte,28.10.2019,Eingeladener Vortrag an anderen Institutionen,30661,Hirte K.,", Deutschland, 28.10.2019",Charité Berlin,,
Paradigmen und Politik. Bestandsaufnahme der deutschen Ökonomik im Vergleich zu den USA,22.02.2019,Eingeladener Vortrag an anderen Institutionen,30662,Grimm C.,", Deutschland, 22.02.2019",,,Duisburg
Freiheitliche Flügelkämpfe? (Historische) Konfliktlinien in der FPÖ,18.12.2018,Eingeladener Vortrag an anderen Institutionen,26599,Pühringer S.,", Österreich, 18.12.2018",,Kurswechsel-Heftpräsentation,"Linz, Central"
"Country capabilities, product complexity, and finance in the EU:  An AB-SFC multi country model for policy analysis",15.11.2018,Eingeladener Vortrag an anderen Institutionen,26479,"Gräbner-Radkowitsch C., Schütz B.",", Vereinigtes Königreich, 15.11.2018",Rebuilding Macroeconomics,,"National Institute of Economic and Social Research, London"
Machtstrukturen Neoliberaler Think Tanks,15.10.2018,Eingeladener Vortrag an anderen Institutionen,26595,Pühringer S.,", Österreich, 15.10.2018","KSÖ, ÖGB, KAB",,"Linz, Cardijn Haus"
Widersprüche in der Ökonomie,24.08.2018,Eingeladener Vortrag an anderen Institutionen,32074,Kapeller J.,", Österreich, 24.08.2018",,,Velden
Performativität und Ökonomik – Worum sorgen sich Ökonom*innen?,21.06.2018,Eingeladener Vortrag an anderen Institutionen,25819,Hirte K.,", Deutschland, 21.06.2018","„Plurale Ökonomik“, Universität Jena","Vorlesungsreihe „Plurale Ökonomik“, Universität Jena",
Verteilungsgerechtigkeit im Familienrecht: Eine philosophische Perspektive,07.06.2018,Eingeladener Vortrag an anderen Institutionen,25828,Kapeller J.,", Österreich, 07.06.2018",Association of Austrian Judges in Family Lay,31. FamilienrichterInnen - Tagung,Schladming
Fiscal policies in international perspective,05.06.2018,Eingeladener Vortrag an anderen Institutionen,25915,Heimberger P.,", Österreich, 05.06.2018",wiiw,,"Joint Vienna Institute, Wien"
"10 Jahre Krise: Neoliberale Denkmuster, wirtschaftspolitische Debatten und der Einfluss von Think Tanks",09.02.2018,Eingeladener Vortrag an anderen Institutionen,25770,Pühringer S.,", Österreich, 09.02.2018",AK Kärnten,Ökonomie: Was ist eigentlich neoliberal?,Villach
Österreichs Staatsausgabenstrukturen im europäischen Vergleich,10.01.2018,Eingeladener Vortrag an anderen Institutionen,25913,Heimberger P.,", Österreich, 10.01.2018",Margit Schratzenstaller,Budget Jour Fixe WIFO,"WIFO, Wien"
Ordoliberale Netzwerke und ihre Wirkmächtigkeit,10.10.2017,Eingeladener Vortrag an anderen Institutionen,23980,Pühringer S.,", Deutschland, 10.10.2017",Akademie für Politische Bildung Tutzing,der(wirtschafts-)politische Einfluss des Ordoliberalismus,Tutzing (München)
"Agenten, Auktionen, Ausschreibungen: Von Nobelpreisen und Vergabeverfahren",13.09.2017,Eingeladener Vortrag an anderen Institutionen,24152,Kapeller J.,", Österreich, 13.09.2017",Parlament,Bahnenquete,Parlament Wien
The Political Economy of Bank Regulatory Evasion,06.09.2017,Eingeladener Vortrag an anderen Institutionen,24154,Kapeller J.,", Österreich, 06.09.2017",Vienna International Summer School,Summer School,WU Wirtschaftsuniversität Wien
MigrantInnen als Zielgruppe der österreichischen Gewerkschaftsbewegung,14.06.2017,Eingeladener Vortrag an anderen Institutionen,23551,Griesser M.,", Österreich, 14.06.2017",,Präsentation von Heft 2/2017 der Österreichischen Zeitschrift für Soziologie,"Forschungs- und Beratungsstelle Arbeitswelt (FORBA), Wien"
"Moralität, Wettbewerb und internationaler Handel: Eine europäische Perspektive",04.04.2017,Eingeladener Vortrag an anderen Institutionen,22784,"Kapeller J., Schütz B., Tamesberger D.",", Österreich, 04.04.2017",Österreichische Arbeiterkammer,AK LänderreferentInnentagung EU und Internationales,Wien
Wohlstandsorientierte Politik: Möglichkeiten für eine gesellschaftliche Verankerung?,16.03.2017,Eingeladener Vortrag an anderen Institutionen,23549,Griesser M.,", Österreich, 16.03.2017",,,Kammer für Arbeiter und Angestellte Wien
Der Kapitalismus und die schöne neue Welt: Eine ambivalente Beziehung,11.10.2016,Eingeladener Vortrag an anderen Institutionen,21823,Kapeller J.,", Österreich, 11.10.2016",,Jahrestagung der Sozialplattform OÖ,Linz
"Netzwerke, Paradigmen, Attitüden - Der deutsche Sonderweg im Fokus",27.09.2016,Eingeladener Vortrag an anderen Institutionen,23981,Pühringer S.,", Deutschland, 27.09.2016",FGW - Forschungsstelle für gesellschaftliche Weiterentwicklung,FGW-Vernetzung und Projektpräsentation,Düsseldorf
"Netzwerke, Paradigmen, Attitüden - Der deutsche Sonderweg im Fokus",27.09.2016,Eingeladener Vortrag an anderen Institutionen,21304,"Aigner E., Pühringer S.",", Deutschland, 27.09.2016",FGW - Forschungsstelle für gesellschaftliche Weiterentwicklung,FGW-Vernetzung und Projektpräsentation,Düsseldorf
Wie denken zukünftige Ökonom_innen?,27.09.2016,Eingeladener Vortrag an anderen Institutionen,21305,Pühringer S.,", Deutschland, 27.09.2016",FGW - Forschungsstelle für gesellschaftliche Weiterentwicklung,,Düsseldorf
Vortrag und Workshop zur Finanzkrise und deren wirtschaftspolitischen Folgen,01.03.2016,Eingeladener Vortrag an anderen Institutionen,20126,Pühringer S.,", Österreich, 01.03.2016",HAK Traun,,Traun
Wie liberal ist der Neoliberalismus?,23.02.2016,Eingeladener Vortrag an anderen Institutionen,20364,Kapeller J.,", Österreich, 23.02.2016",,,"Hans Böckler Stiftung, Wien"
Geschichte und Praxis der Austeritätspolitik,05.02.2016,Eingeladener Vortrag an anderen Institutionen,20365,Kapeller J.,", Deutschland, 05.02.2016",,,"Friedrich-Ebert-Stiftung, Wiesbaden"
Humanistische Handelspolitik und inklusives Wachstum,26.01.2016,Eingeladener Vortrag an anderen Institutionen,20366,Kapeller J.,", Deutschland, 26.01.2016",,,"Bertelsmann-Stiftung, Berlin"
Workshop zu: Philosophien der Verteilungsgerechtigkeit,07.01.2016,Eingeladener Vortrag an anderen Institutionen,18996,Pühringer S.,", Österreich, 07.01.2016",Kreuzschwesternschule Linz,,Linz
Workshop zu: Philosophien der Verteilungsgerechtigkeit,17.11.2015,Eingeladener Vortrag an anderen Institutionen,18995,Pühringer S.,", Österreich, 17.11.2015",HAK Traun,,
Zum performativen Fußabdruck der ÖkonomInnen 1955-1992,07.09.2015,Eingeladener Vortrag an anderen Institutionen,40370,"Hirte K., Thieme S.",", Deutschland, 07.09.2015",2te pluralistische Ergänzungsveranstaltung des Netzwerkes Real World Economics,2te pluralistische Ergänzungsveranstaltung des Netzwerkes Real World Economics,Münster
Some implications of traditional philosophy for current economics,03.09.2015,Eingeladener Vortrag an anderen Institutionen,18487,Kapeller J.,", Chile, 03.09.2015",UN-ECLAC,,Santiago de Chile
MigrantInnen als Zielgruppe?,20.05.2015,Eingeladener Vortrag an anderen Institutionen,18293,Griesser M.,", Österreich, 20.05.2015",,Studienpräsentation zu solidarischen Beratungs- und Unterstützungsangeboten von ArbeitnehmerInnenorganisationen in Österreich,Bildungszentrum der AK Wien
The crisis as a game changer? Der Einfluss der Krise auf die Entwicklung ökonomischer Forschung [The crisis and the development of economic research],22.04.2015,Eingeladener Vortrag an anderen Institutionen,17730,Kapeller J.,", Österreich, 22.04.2015",,"Conference on the OECD's ""New Approaches to Economic Challenges""-Program",Bundeskanzleramt Wien
Zum Entstehen und „Vergehen“ der deutschen universitären Agrarsoziologie,20.03.2015,Eingeladener Vortrag an anderen Institutionen,17798,Hirte K.,", Österreich, 20.03.2015",,79. Tagung AG Ländliche Sozialforschung Österreich,79. Tagung AG Ländliche Sozialforschung Österreich
Krise der Wirtschaftswissenschaften - Chancen für eine plurale Ökonomik?,23.02.2015,Eingeladener Vortrag an anderen Institutionen,17743,Kapeller J.,", Deutschland, 23.02.2015",Friedrich Ebert Stiftung (FES),,Berlin
Internationaler Freihandel auf Basis komparativer Kostenvorteile? - zu Theorie und Praxis eines Versprechens,24.11.2014,Eingeladener Vortrag an anderen Institutionen,16923,Hirte K.,", Österreich, 24.11.2014",Arbeiterkammer Linz,Workshop Wirtschaftstheorie und Politik: Freihandel,Linz
"Wirtschaftspolitik, Verteilungsgerechtigkeit und Demokratie",07.11.2014,Eingeladener Vortrag an anderen Institutionen,16875,Kapeller J.,", Österreich, 07.11.2014",Arbeiterkammer Burgenland,Jahreshauptversammlung der Arbeiterkammer Burgenland,
ÖkonomInnen in der Finanzkrise - Wie performativ ist Wissenschaft,19.10.2014,Eingeladener Vortrag an anderen Institutionen,21756,Hirte K.,", Deutschland, 19.10.2014",AK Politische Ökonomie und WEA,,Frankfurt am Main
Die Verteilung von Einkommen und Vermögen in Europa und International,10.09.2014,Eingeladener Vortrag an anderen Institutionen,15993,Kapeller J.,", Österreich, 10.09.2014",,,Arbeiterkammer Oberösterreich Linz
Workshop: Einführung in die Komplexitätsökonomik,09.08.2014,Eingeladener Vortrag an anderen Institutionen,23997,"Elsner W., Gräbner-Radkowitsch C., Heinrich T.",", Deutschland, 09.08.2014","IMK Berlin, HBS Berlin",Pluralismus in der Ökonomik,IMK Berlin
Podiumsdiskussion zum Film Too big to Tell von Johanna Tschautscher,09.07.2014,Eingeladener Vortrag an anderen Institutionen,16830,Pühringer S.,", Österreich, 09.07.2014",Voest Alpine,,Linz
Ökonomische Theorie und öffentliche Meinung,09.07.2014,Eingeladener Vortrag an anderen Institutionen,16831,Ötsch W.,", Deutschland, 09.07.2014",Kueser-­‐Akademie Alfter bei Bonn,,Alfter bei Bonn
Europäische Agrarpolitik – eine kritische Sicht,14.04.2014,Eingeladener Vortrag an anderen Institutionen,21758,Hirte K.,", Österreich, 14.04.2014",Nyeleni-Forum 2014,,Salzburg
Der Papst als Kritiker des Wirtschaftssystems,29.03.2014,Eingeladener Vortrag an anderen Institutionen,16826,Ötsch W.,", Österreich, 29.03.2014",Vorstand der Katholischen Arbeitnehmerbewegung und der Betriebsseelsorge Oberösterreich,,Linz
Demokratie und Finanzkapitalismus,04.02.2014,Eingeladener Vortrag an anderen Institutionen,15041,Ötsch W.,", Österreich, 04.02.2014",Vortragsreihe Demokratie von ATTAC Wels,,Wels
Die Funktionslogik von Think-Tanks in neoliberalen Machtapparaten,04.02.2014,Eingeladener Vortrag an anderen Institutionen,15033,Nordmann J.,", Deutschland, 04.02.2014",,,Wissenschaftszentrum Berlin
Möglichkeiten zur Bürgerbeteiligung in Vorchdorf,09.12.2013,Eingeladener Vortrag an anderen Institutionen,15073,Plaimer W.,", Österreich, 09.12.2013",Ortspartei  der SPÖ Vorchdorf,,Vorchdorf
"ÖkonomInnen in der Finanzkrise - Diskurse, Netzwerke, Initiativen",05.12.2013,Eingeladener Vortrag an anderen Institutionen,14275,"Hirte K., Pühringer S.",", Österreich, 05.12.2013",AK Linz,Workshop der AK Linz,Arbeiterkammer Oberösterreich Linz
Möglichkeiten vom Bürgerbeteiligungsmodellen in Mehrheits- und Minderheitsgemeinden,28.11.2013,Eingeladener Vortrag an anderen Institutionen,15072,Plaimer W.,", Österreich, 28.11.2013",Bezirksparteiausschuss der SPÖ Vöcklabruck,,Vöcklabruck
Was ist eigentlich liberal?,06.11.2013,Eingeladener Vortrag an anderen Institutionen,15071,"Pühringer S., Ötsch W.",", Österreich, 06.11.2013","Grünen Wirtschaft Oberösterreich, Keplersalon Linz",,Linz
Bürgerbeteiligungsmodelle,07.10.2013,Eingeladener Vortrag an anderen Institutionen,15067,Plaimer W.,", Österreich, 07.10.2013",Ortsparteiausschuss der SPÖ Wolfern,,Wolfern
Bürgerbeteiligungsmodelle,29.08.2013,Eingeladener Vortrag an anderen Institutionen,15052,Plaimer W.,", Österreich, 29.08.2013",Ortsparteiausschuss  der SPÖ Vorchdorf,,Vorchdorf
Möglichkeiten zur Bürgerbeteiligung in Steyr,28.08.2013,Eingeladener Vortrag an anderen Institutionen,15051,Plaimer W.,", Österreich, 28.08.2013",Stadtteilverband  der SPÖ Steyr,,Steyr
Möglichkeiten vom Bürgerbeteiligungsmodellen in Mehrheits- und Minderheitsgemeinden,01.07.2013,Eingeladener Vortrag an anderen Institutionen,15048,Plaimer W.,", Österreich, 01.07.2013",Bezirksparteiausschuss der SPÖ Kirchdorf,,Kirchdorf
Bürgerbeteiligungsmodelle,12.06.2013,Eingeladener Vortrag an anderen Institutionen,15045,Plaimer W.,", Österreich, 12.06.2013",Bezirksparteiausschuss  der SPÖ,,Ried
Was ist Demokratie?,24.04.2013,Eingeladener Vortrag an anderen Institutionen,15040,Nordmann J.,", Österreich, 24.04.2013",ATTAC Wels,,Wels
Bankenrettungen,10.02.2013,Eingeladener Vortrag an anderen Institutionen,15038,Ötsch W.,", Österreich, 10.02.2013",QuerdenkRe(ihe) der Bürogemeinschaft E20,,Salzburg
Think-Tanks und die Institutionen der EU. Eine kritische Analyse aus demokratietheoretischer Sicht,08.07.2012,Eingeladener Vortrag an anderen Institutionen,11437,Nordmann J.,", Niederlande, 08.07.2012",,IPA-Konferenz,Tilburg
Geschichte und Ausprägungen des Neoliberalismus,18.06.2012,Eingeladener Vortrag an anderen Institutionen,11436,Ötsch W.,", Österreich, 18.06.2012",,,Linz
Ausgeliefert? Aufgaben und Chancen der Politik angesichts der 'Macht der Märkte' und einer ausgehöhlten Demokratie,31.05.2012,Eingeladener Vortrag an anderen Institutionen,11432,Ötsch W.,", Österreich, 31.05.2012",Armutsnetzwerk Vöcklabruck,,Vöcklabruck
Moderation zu Werner Rügemer: Ratingagenturen,11.05.2012,Eingeladener Vortrag an anderen Institutionen,11431,Nordmann J.,", Österreich, 11.05.2012",,,Wissensturm Linz
Muss Forschung ökonomisch sein? CityScienceTalk der Langen Nacht der Forschung,27.04.2012,Eingeladener Vortrag an anderen Institutionen,11429,Ötsch W.,", Österreich, 27.04.2012",,,Linz
"Moderation zum Vortrag ""Wem gehört die Welt? Zur Wiederentdeckung der Gemeingüter"" von Silke Helfrich",21.03.2012,Eingeladener Vortrag an anderen Institutionen,11426,Nordmann J.,", Österreich, 21.03.2012",,,Wissensturm Linz
"Staatsschulden: Wer ist schuld, wer zahlt?",19.03.2012,Eingeladener Vortrag an anderen Institutionen,11425,Ötsch W.,", Österreich, 19.03.2012",,,Rathaus Wien
"Moderation zum Vortrag ""West-End. Das Scheitern der Moderne als kapitalistisches Patriarchat und die Logik der Alternativen von Univ.Prof. Claudia von Werlhof",14.03.2012,Eingeladener Vortrag an anderen Institutionen,11423,Nordmann J.,", Österreich, 14.03.2012",,,Wissensturm Linz
