Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
Das europäische Schattenbankensystem: Bestandsaufnahme und gegenwärtige Entwicklungen,"Bräutigam, Lars (+1 weitere)",2016,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Beyer, K., & Bräutigam, L. (2016). Das europäische Schattenbankensystem: Bestandsaufnahme und gegenwärtige Entwicklungen. Blog Beitrag https://www.awblog.at/Allgemein/europaeische-schattenbanken-entwicklungen",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Weniger Staatsausgaben: Abbau des Sozialstaats und Vertiefung von Wirtschaftskrisen,"Heimberger, Philipp",2017,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2017). Weniger Staatsausgaben: Abbau des Sozialstaats und Vertiefung von Wirtschaftskrisen. Blog Beitrag https://www.awblog.at/Allgemein/weniger-staatsausgaben-abbau-des-sozialstaats-und-vertiefung-v",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Österreichs Bildungs-, Gesundheits- und Sozialausgaben im europäischen Vergleich: Wenn der Staat spart, kann das für private Haushalte teuer werden","Heimberger, Philipp",2017,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2017). Österreichs Bildungs-, Gesundheits- und Sozialausgaben im europäischen Vergleich: Wenn der Staat spart, kann das für private Haushalte teuer werden. Blog Beitrag https://www.awblog.at/Europa/oesterreichs-bildungs-gesundheits-und-sozialausgaben-im-europa",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Vorsicht bei Ländervergleichen – insbesondere bei Staatsausgaben!,"Heimberger, Philipp",2017,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2017). Vorsicht bei Ländervergleichen – insbesondere bei Staatsausgaben!. Blog Beitrag https://www.awblog.at/Bildung/vorsicht-bei-laendervergleichen-insbesondere-bei-staatsausgabe",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Soll der Staat bei Bildung, Gesundheit und Sozialem kürzen? Austeritätspolitik seit der Finanzkrise im Vergleich","Heimberger, Philipp",2017,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2017). Soll der Staat bei Bildung, Gesundheit und Sozialem kürzen? Austeritätspolitik seit der Finanzkrise im Vergleich. Blog Beitrag https://www.awblog.at/Bildung/soll-der-staat-bei-bildung-gesundheit-und-sozialem-kuerzen-aus",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Der Einfluss des Neoliberalismus auf österreichische Parteiprogramme,"Grimm, Christian",2019,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Grimm, C. (2019). Der Einfluss des Neoliberalismus auf österreichische Parteiprogramme. Blog Beitrag https://www.awblog.at/Wirtschaft/einfluss-neoliberalismus-parteiprogramme",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Arbeitslosigkeit in Europa: Was man tun könnte,"Heimberger, Philipp",2019,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2019). Arbeitslosigkeit in Europa: Was man tun könnte. Blog Beitrag https://www.awblog.at/Arbeit/arbeitslosigkeit-in-europa",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Italien vs. EU-Kommission: Warum ein Defizitverfahren kontraproduktiv wäre,"Heimberger, Philipp",2019,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2019). Italien vs. EU-Kommission: Warum ein Defizitverfahren kontraproduktiv wäre. Blog Beitrag https://www.awblog.at/Europa/italien-defizitverfahren-kontraproduktiv",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Dem wirtschaftlichen Abschwung entgegenwirken: Zur wichtigen Rolle der Fiskalpolitik,"Heimberger, Philipp",2019,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P., & Pekanov, A. (2019). Dem wirtschaftlichen Abschwung entgegenwirken: Zur wichtigen Rolle der Fiskalpolitik. Blog Beitrag https://www.awblog.at/Europa/wirtschaftlichem-abschwung-entgegenwirken",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Budgetpolitik im Wirtschaftsabschwung: erhebliche Spielräume vorhanden,"Heimberger, Philipp",2020,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2020). Budgetpolitik im Wirtschaftsabschwung: erhebliche Spielräume vorhanden. Blog Beitrag https://www.awblog.at/Wirtschaft/budgetpolitik-im-wirtschaftsabschwung-spielraeume",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wie die ökonomische Globalisierung die Einkommensungleichheit beeinflusst,"Heimberger, Philipp",2020,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2020). Wie die ökonomische Globalisierung die Einkommensungleichheit beeinflusst. Blog Beitrag https://www.awblog.at/Verteilung/oekonomische-globalisierung-und-einkommensungleichheit",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Türkis-blaue Arbeitsmarkt- und Sozialpolitik revisited: zwischen Meritokratie und Wohlfahrtschauvinismus,"Pühringer, Stephan (+2 weitere)",2020,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Beyer, K., Griesser, M., & Pühringer, S. (2020). Türkis-blaue Arbeitsmarkt- und Sozialpolitik revisited: zwischen Meritokratie und Wohlfahrtschauvinismus. Blog Beitrag https://www.awblog.at/Allgemein/tuerkis-blaue-arbeitsmarkt-und-sozialpolitik-revisited",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Budgetpolitik in der Corona-Krise: Reform der Budgetregeln erforderlich,"Heimberger, Philipp",2020,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2020). Budgetpolitik in der Corona-Krise: Reform der Budgetregeln erforderlich. Blog Beitrag https://www.awblog.at/Europa/reform-der-budgetregeln-in-der-corona-krise-erforderlich",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
So denken Ökonom*innen über Wettbewerb – eine Kritische Analyse des österreichischen Expert*innendiskurses,"Porak, Laura (+2 weitere)",2021,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Porak, L., Pühringer, S., & Rath, J. (2021). So denken Ökonom*innen über Wettbewerb – eine Kritische Analyse des österreichischen Expert*innendiskurses. Blog Beitrag https://www.awblog.at/Wirtschaft/so-denken-oekonomen-ueber-wettbewerb",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Eine europäische Vermögenssteuer für das Klima,"Kapeller, Jakob",2021,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Kapeller, J., & Wildauer, R. (2021). Eine europäische Vermögenssteuer für das Klima. Blog Beitrag https://www.awblog.at/Europa/europaeische-vermoegenssteuer-fuer-das-klima",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Budgetkürzungen durch „Outputlücken-Nonsens“,"Heimberger, Philipp",2021,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Heimberger, P. (2021). Budgetkürzungen durch „Outputlücken-Nonsens“. Blog Beitrag https://www.awblog.at/Wirtschaft/budgetkuerzungen-durch-outputluecken-nonsens",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Klima, Markt und Zukunftsbilder","Ötsch, Walter",2022,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Ötsch, W. (2022). Klima, Markt und Zukunftsbilder. Blog Beitrag https://oxiblog.de/klima-markt-und-zukunftsbilder/",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Vermögen in Österreich: stark konzen­triert, gering be­steuert","Hornykewycz, Anna (+1 weitere)",2024,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Disslbacher, F., Hornykewycz, A., & Kapeller, J. (2024). Vermögen in Österreich: stark konzen­triert, gering be­steuert. Blog Beitrag, . https://www.awblog.at/Verteilung/Vermoegen-in-Oesterreich-stark-konzentriert-gering-besteuert",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Sociology of Media Ownership Revisited: Benson et al.’s How Media Ownership Matters. A Review Essay,"Theine, Hendrik",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,173,ICAE Working Paper Series,"Theine, H. (2026). The Sociology of Media Ownership Revisited: Benson et al.’s How Media Ownership Matters. A Review Essay. (ICAE Working Paper Series; Nr. 173). https://ideas.repec.org/p/ico/wpaper/173.html",Socio-Ecological Transformation Lab
Beyond Text-as-Data: Integrating Structural Topic Modeling and Critical Discourse Analysis for Contextualized Transformations Research,"Verita, Carlotta (+1 weitere)",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,2,SET Lab Working Paper Series,"Theine, H., & Verita, C. (2026). Beyond Text-as-Data: Integrating Structural Topic Modeling and Critical Discourse Analysis for Contextualized Transformations Research. (SET Lab Working Paper Series; Nr. 2). https://www.jku.at/fileadmin/gruppen/410/SET_Lab/SET_Lab_WP_Series/wp2.pdf",Socio-Ecological Transformation Lab
Primary Definers of Transformation? Actor Power and the Socio-Ecological Transformation Discourse in Austrian Media,"Verita, Carlotta (+1 weitere)",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,4,SET Lab Working Paper Series,"Verita, C., & Theine, H. (2026). Primary Definers of Transformation? Actor Power and the Socio-Ecological Transformation Discourse in Austrian Media. (SET Lab Working Paper Series; Nr. 4). https://www.jku.at/fileadmin/gruppen/410/SET_Lab/SET_Lab_WP_Series/wp4.pdf",Socio-Ecological Transformation Lab
Skewed perspectives: Media Narratives on wealth-based taxation in German speaking countries,"Stäudelmayr, Alexander (+1 weitere)",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,177,ICAE Working Paper Series,"Theine, H., Stäudelmayr, A., Maad, M., & Grisold, A. et al. (2026). Skewed perspectives: Media Narratives on wealth-based taxation in German speaking countries. (ICAE Working Paper Series; Nr. 177). https://ideas.repec.org/p/ico/wpaper/177.html",Socio-Ecological Transformation Lab
"Politik, Medien, Lobbys: Wie Österreichs Superreiche ihre Interessen durchsetzen","Pühringer, Stephan (+1 weitere)",2026,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Griesebner, T., & Pühringer, S. (2026). Politik, Medien, Lobbys: Wie Österreichs Superreiche ihre Interessen durchsetzen. Blog Beitrag https://www.awblog.at/Wirtschaft/Politik-Medien-Lobbys-Oesterreichs-Superreiche",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Superreiche in Österreich und ihre Netzwerke der Interessensdurchsetzung,"Pühringer, Stephan (+1 weitere)",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,Materialien zu Wirtschaft und Gesellschaft - Working Paper-Reihe der AK Wien,"Griesebner, T., & Pühringer, S. (2026). Superreiche in Österreich und ihre Netzwerke der Interessensdurchsetzung. (Materialien zu Wirtschaft und Gesellschaft - Working Paper-Reihe der AK Wien). Arbeiterkammer Wien. https://emedien.arbeiterkammer.at/viewer/api/v1/records/AC17786801/files/source/AC17786801.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Wärmewende abseits der Schlagzeilen,"Bäuerle, Lukas",2026,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Sagvosdkin, V., & Bäuerle, L. (2026). Wärmewende abseits der Schlagzeilen: Wie sie von betroffenen Unternehmen und Verbänden gesehen und bewertet wird. Blog Beitrag https://kompass.blog/public-brief/waermewende-abseits-der-schlagzeilen/",Socio-Ecological Transformation Lab
Contested Transformative Imaginaries: Economic Reasoning and Actor Coalitions in Austria's Corporatist Setting,"Porak, Laura (+3 weitere)",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,3,SET Lab Working Paper Series,"Hager, T., Porak, L., Pühringer, S., & Terhorst, C. (2026). Contested Transformative Imaginaries: Economic Reasoning and Actor Coalitions in Austria's Corporatist Setting. (SET Lab Working Paper Series; Nr. 3). https://www.jku.at/fileadmin/gruppen/410/SET_Lab/SET_Lab_WP_Series/wp3.pdf",Socio-Ecological Transformation Lab
Contested Transformative Imaginaries: Economic Reasoning and Actor Coalitions in Austria's Corporatist Setting,"Porak, Laura (+3 weitere)",2026,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,175,ICAE Working Paper Series,"Hager, T., Porak, L., Pühringer, S., & Terhorst, C. (2026). Contested Transformative Imaginaries: Economic Reasoning and Actor Coalitions in Austria's Corporatist Setting. (ICAE Working Paper Series; Nr. 175). https://www.jku.at/fileadmin/gruppen/108/ICAE_Working_Papers/wp175.pdf",Socio-Ecological Transformation Lab
A pluralist perspective on input-output modeling: searching for commensurability,"Scharnreitner, Franz (+1 weitere)",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,169,ICAE Working Paper Series,"Kapeller, J., & Scharnreitner, F. (2025). A pluralist perspective on input-output modeling: searching for commensurability. (ICAE Working Paper Series; Nr. 169). https://www.jku.at/fileadmin/gruppen/108/ICAE_Working_Papers/wp169.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
System-induced transition inertia in the transformation of the German heating and housing sector,"Bäuerle, Lukas",2026,begutachtet,Beitrag in Fachzeitschrift,,,,"Semb, J., Bäuerle, L., & Sagvosdkin, V. (2026). System-induced transition inertia in the transformation of the German heating and housing sector. Energy Policy, 212, Artikel 115181. Vorzeitige Online-Publikation. https://doi.org/10.1016/j.enpol.2026.115181",Socio-Ecological Transformation Lab
The discursive power of economic reasoning in the neoliberal era,"Porak, Laura (+1 weitere)",2026,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Porak, L., & Pühringer, S. (2026). The discursive power of economic reasoning in the neoliberal era. In Handbook on Critical Discourse Studies  (1 Aufl., S. 248-258). Edward Elgar Publishing. https://doi.org/10.4337/9781035319763.00035",Socio-Ecological Transformation Lab
Mobilitätswende produzieren: Warum die Bahnindustrie jetzt im Zentrum stehen muss,"Porak, Laura (+1 weitere)",2025,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Porak, L., & Hornykewycz, A. (2025). Mobilitätswende produzieren: Warum die Bahnindustrie jetzt im Zentrum stehen muss. Blog Beitrag, . https://kompass.blog/public-brief/mobilitaetswende-produzieren-warum-die-bahnindustrie-jetzt-im-zentrum-stehen-muss/",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Exploring the Climate Crisis: Economic Inequality Nexus in the U.S. American Media Landscape,"Verita, Carlotta (+1 weitere)",2026,begutachtet,Beitrag in Fachzeitschrift,,,,"Verita, C., & Theine, H. (2026). Exploring the Climate Crisis: Economic Inequality Nexus in the U.S. American Media Landscape. The Political Economy of Communication, 12(1), 20-50. https://www.polecom.org/index.php/polecom/article/view/193/428",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
To build or not to build?,"Bäuerle, Lukas",2026,begutachtet,Beitrag in Fachzeitschrift,,,,"Sagvosdkin, V., Bäuerle, L., Semb, J., & Praetorius, B. (2026). To build or not to build? Sustainability narratives between growth-oriented ‘eco-markets’ and regulative ‘sufficiency’ in Germany's heat transition. Energy Research and Social Science, 131, 104527. Artikel 104527. https://doi.org/10.1016/j.erss.2025.104527",Socio-Ecological Transformation Lab
Performative competition: The U.S. wireless communication market and the T-Mobile/Sprint merger,"Theine, Hendrik",2026,begutachtet,Beitrag in Fachzeitschrift,,,,"Popiel, P., Ali, C., Theine, H., & Forde, S. L. (2026). Performative competition: The U.S. wireless communication market and the T-Mobile/Sprint merger. International Communication Gazette, 88(1-2), 91-108. https://doi.org/10.1177/17480485251405601",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Reappraising consumption nudging—on liberty in the age of climate catastrophe,"Kapeller, Jakob",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Braganza, O., & Kapeller, J. (2025). Reappraising consumption nudging—on liberty in the age of climate catastrophe. Humanities and Social Sciences Communications, 12(1), Artikel 251. https://doi.org/10.1057/s41599-024-04246-0",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Informing Philadelphia - Strengths and Gaps in Local Media’s Coverage of Critical Information Needs,"Verita, Carlotta (+1 weitere)",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Theine, H., & Verita, C. (2025). Informing Philadelphia - Strengths and Gaps in Local Media’s Coverage of Critical Information Needs. https://www.asc.upenn.edu/sites/default/files/2025-09/Informing%20Philadelphia%20White%20Paper.pdf",Socio-Ecological Transformation Lab
Kapitel 20. Mediendiskurse und -strukturen,"Theine, Hendrik",2023,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Theine, H., & Regen, L. (2023). Kapitel 20. Mediendiskurse und -strukturen. In C. Görg, V. Madner, A. Muhar, A. Novy, A. Posch, K. W. Steininger, & E. Aigner (Hrsg.), APCC Special Report: Strukturen für ein klimafreundliches Leben (S. 547–566). Springer. https://doi.org/10.1007/978-3-662-66497-1_24",Socio-Ecological Transformation Lab
Kapitel 10: Integrierte Perspektiven auf Strukturbedingungen,"Theine, Hendrik (+1 weitere)",2023,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Ornetzeder, M., Pichler, M., Madner, V., & Görg, C. et al. (2023). Kapitel 10: Integrierte Perspektiven auf Strukturbedingungen. In C. Görg, V. Madner, A. Muhar, A. Novy, A. Posch, K. W. Steininger, & E. Aigner (Hrsg.), APCC Special Report: Strukturen für ein klimafreundliches Leben (1 Aufl., S. 347-349). Springer Spektrum. https://doi.org/10.1007/978-3-662-66497-1_14",Socio-Ecological Transformation Lab
Unterschätzte Synergien zwischen Vermögensbesteuerung und Klimawandelanpassung,"Theine, Hendrik",2025,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Teebken, J., Klüh, U., Kleinod, S., & Theine, H. (2025). Unterschätzte Synergien zwischen Vermögensbesteuerung und Klimawandelanpassung: Klimapolitik: Drei Fliegen mit einer Klappe. Ökologisches Wirtschaften, 40(4), 45-50. https://doi.org/10.14512/OEW400445",Socio-Ecological Transformation Lab
Die Medienberichterstattung zur Vermögens- und Erbschaftsbesteuerung in Deutschland,"Theine, Hendrik",2022,begutachtet,Beitrag in Fachzeitschrift,,,,"Theine, H., & Grisold, A. (2022). Die Medienberichterstattung zur Vermögens- und Erbschaftsbesteuerung in Deutschland. Zeitschrift für Politikwissenschaft, 32(1). https://doi.org/10.1007/s41358-022-00314-6",Socio-Ecological Transformation Lab
"Media, Telecommunication, and Internet Concentration in Germany 2019-2023","Theine, Hendrik",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,Global Media and Internet Concentration Project,"Barbutev, L., Theine, H., Mast, T., & Spannuth, J. S. (2025). Media, Telecommunication, and Internet Concentration in Germany 2019-2023. (Global Media and Internet Concentration Project). https://doi.org/10.22215/gmicp/2025.12.276",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
“The Charm of Emission Trading”: Ideas of German Economists on Economic Policy in Times of Crises,"Porak, Laura",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Reinke, R., & Porak, L. (2025). “The Charm of Emission Trading”: Ideas of German Economists on Economic Policy in Times of Crises. Journal of Economic Issues, 59(4), 1191-1211. https://doi.org/10.1080/00213624.2025.2575141",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Economic Ideas Across Borders,"Kapeller, Jakob",2025,begutachtet,Buch,,,Routledge Studies in the History of Economics,"Kapeller, J., & Özgür, M. E. (Hrsg.) (2025). Economic Ideas Across Borders: A History of German Influence on Turkish Economics. (1 Aufl.) (Routledge Studies in the History of Economics). Routledge. https://doi.org/10.4324/9781003622000",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
From monoculture to pluricultures.,"Bäuerle, Lukas",2025,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Bäuerle, L., & Groenewald, M. M. (2025). From monoculture to pluricultures. Recent trends in economic education. In The Routledge Handbook of Heterodox Economics: Volume 2: Dynamics and Alternatives (2 Aufl., Band 2, S. 353-368). Routledge Taylor & Francis Group. https://doi.org/10.4324/9781003687054-28",Socio-Ecological Transformation Lab
Gleichstellung in der sozial-ökologischen Transformation,"Kapeller, Jakob",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,Sachverständigenkommission für den Vierten Gleichstellungsbericht der Bundesregierung (2025). Gleichstellung in der sozial-ökologischen Transformation: Gutachten für den Vierten Gleichstellungsbericht der Bundesregierung. Bundesstiftung Gleichstellung. https://www.gleichstellungsbericht.de/wp-content/uploads/2025/04/GutachtenVierterGleichstellungsbericht_WEB_20250303_bf_V2.pdf,Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die klassische ökonomische Verhaltenstheorie und ihre Grenzen,"Kapeller, Jakob",2024,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J. (2024). Die klassische ökonomische Verhaltenstheorie und ihre Grenzen. In Wirtschaft plural: Perspektiven Pluraler Ökonomik in der politischen Bildung Bundeszentrale für politische Bildung. https://www.bpb.de/system/files/dokument_pdf/TuM_Wirtschaft_plural_Handreichung.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Global Perspective on Income Inequality,"Kapeller, Jakob",2025,begutachtet,Beitrag in Buch/Bericht/Konferenzband,329,,Studies in Critical Social Sciences,"Guerriero, A. Z., & Kapeller, J. (2025). The Global Perspective on Income Inequality. In Global Inequality: Rethinking Sociology in the 21st Century (1 Aufl., S. 69-95). (Studies in Critical Social Sciences; Band 329). Brill. https://doi.org/10.1163/9789004733626_004",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
From monoculture to pluricultures,"Bäuerle, Lukas",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,172,ICAE Working Paper Series,"Bäuerle, L., & Groenewald, M. M. (2025). From monoculture to pluricultures: Recent trends in economics education. (ICAE Working Paper Series; Nr. 172). https://www.jku.at/fileadmin/gruppen/108/ICAE_Working_Papers/wp172.pdf",Socio-Ecological Transformation Lab
The Economics of Socio-Ecological Transformations,"Bäuerle, Lukas (+1 weitere)",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,171,ICAE Working Paper Series,"Pühringer, S., & Bäuerle, L. (2025). The Economics of Socio-Ecological Transformations: A conceptual framework. (ICAE Working Paper Series; Nr. 171). https://www.jku.at/fileadmin/gruppen/108/ICAE_Working_Papers/wp171.pdf",Socio-Ecological Transformation Lab
Political Economy of Knowledge Production in Capitalist Academia: Challenges and Opportunities for Socio-Ecological Transformation,"Hager, Theresa (+2 weitere)",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,164,ICAE Working Paper Series,"Altreiter, C., Hager, T., & Pühringer, S. (2025). Political Economy of Knowledge Production in Capitalist Academia: Challenges and Opportunities for Socio-Ecological Transformation. (ICAE Working Paper Series; Nr. 164). https://www.jku.at/fileadmin/gruppen/108/ICAE_Working_Papers/wp164.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"“We need long-term thinking, predictability, and reliability.”","Bäuerle, Lukas",2026,begutachtet,Beitrag in Fachzeitschrift,,,,"Bäuerle, L., Barkey, M., Sagvosdkin, V., & Semb, J. (2026). “We need long-term thinking, predictability, and reliability.”: Imagined futures of the German heating and housing transition. Futures, 175, Artikel 103736. https://doi.org/10.1016/j.futures.2025.103736",Socio-Ecological Transformation Lab
