Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
"Trade runner 2049: Complexity, development, and the future of the economy","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten",2018-09-26,2018-09-26
7. Sommerakademie des ICAE mit dem Titel: Globalisierung und Konzernmacht – Zur Moral des Profits im 21. Jahrhundert,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+8 weitere)","Huber, Jakob",2016-06-03,2016-06-04
Workshop „Freihandel“ – wer profitiert?,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa (+3 weitere)",,2021-11-30,2021-11-30
ICAE Research Seminar,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+3 weitere)",,2019-10-10,2024-10-31
Workshop: Diskursanalyse in den Sozial- und Wirtschaftswissenschaften,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Porak, Laura (+1 weitere)",,2021-10-20,2021-10-21
Workshop Economics of knowledge creation and utilization in regions,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Kudic, Muhamed (+2 weitere)",2021-10-01,2021-10-02
Wettbewerb infrage - Podcast-Reihe,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Rath, Johanna","Azevedo, Susanna (+1 weitere)",2019-05-01,2023-06-30
9. Jahrestagung des ICAE: Der (wirtschafts-)politische Einfluss des Ordoliberalismus,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+3 weitere)",,2017-10-09,2017-10-10
"Forms of Power in Economics: New perspectives for the Social Studies of Economics between networks, discourses and fields","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Rossier, Thierry (+1 weitere)",2018-12-06,2018-12-08
Workshop: Verzerrte Expertise: Zur (Frei)Handelsdebatte in den Wirtschaftswissenschaften,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2022-11-12,2022-11-12
"Rankings and the Structure of the economic sciences: promoting excellence, preserving academic quality, or constructing hierarchies and exclusions?","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Rossier, Thierry (+1 weitere)",2022-07-20,2022-07-22
"Spatial competition as a mean for coordination or control? Discourses, institutions and everyday practices","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2022-09-07,2022-09-09
Competitiveness and Space. Mini Conference at SASE Annual Meeting,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+2 weitere)","Rogojanu, Ana (+1 weitere)",2022-07-09,2022-07-11
"Coordinator YSI (Young Scholar Initiative), Working Group Sustainability, Institute of New Economic Thinking","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2024-01-01,2025-12-31
Who owns the future? Democratic economic planning on multiple levels for a just social-ecological transformation,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Porak, Laura (+1 weitere)","Scholz-Wäckerle, Manuel (+1 weitere)",2024-11-21,2024-11-21
Wissen und Krise,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen (+1 weitere)",,2013-09-26,2013-09-27
1. Jahrestagung des ICAE: Krise! Welche Krise?,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen (+2 weitere)",,2009-12-03,2009-12-05
2. Jahrestagung des ICAE: Gesellschaft! Welche Gesellschaft?,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen (+2 weitere)",,2010-12-02,2010-12-04
"1. Sommerakademie: Macht, Eliten, Medien. Wie unsere Gesellschaft funktioniert","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Nordmann, Jürgen (+2 weitere)",,2010-06-03,2010-06-05
8. Sommerakademie des ICAE mit dem Titel: Gemeinsam oder getrennt? Europa zwischen Integration und Polarisierung,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+7 weitere)",,2017-05-19,2017-05-20
Summer School Course: Complexity Economics - Theory and Computational Methods,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten",2017-08-04,2017-08-11
Introduction to Complexity Economics,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten (+1 weitere)",2015-09-16,2015-09-17
Einführung in die Komplexitätsökonomik,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten (+1 weitere)",2014-10-08,2014-10-10
International Conference: A Great Transformation? Global Perspectives on Contemporary Capitalisms,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Atzmüller, Roland (+7 weitere)",,2017-01-09,2017-01-13
YSI & EAEPE Pre-Conference for Young Scholars 2024: Change in the Capitalist Order and its Constraints,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)","Burnazoglu, Merve",2024-09-03,2024-09-03
SASE Women and Gender Forum: General Assembly,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2024-06-27,2024-06-29
SASE: Book Publishing Lunch,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2024-06-27,2024-06-29
Vollversammlung des Mittelbaus der JKU Linz,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+7 weitere)",,2023-03-16,2023-03-16
"Podiumsdiskussion zum Thema ""Mehr als Geld: Was braucht gute Wissenschaft?""","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+6 weitere)",,2024-03-14,2024-03-14
Lunch Lecture mit Walter Pfeil: Prekäre Wissenschaft durch rechtliche Rahmenbedingungen.,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+7 weitere)",,2024-11-14,2024-11-14
Power Structures in Economics,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan","Aigner, Ernest",2018-11-16,2018-11-17
"SASE WAG online event: How are gender inequalities in academia enabled? The case of gender-based violence, career norms and hiring practices","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2023-07-12,2023-07-12
EAEPE pre-conference: Power of economics without power in economics?,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2023-09-12,2023-09-12
Understanding economic history for shaping the future,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-10-01,2019-10-02
"Panel Discussion ""Greening the European Economy at the Expense of the Global South? Insights from Raw Material Exporting Countries""","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-01-29,2025-01-29
"Konferenz ""Rohstoffpolitik gerecht gestalten""","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-01-30,2025-01-31
"Coordinator YSI (Young Scholar Initiative), Working Group Philosophy of Economics, Institute of New Economic Thinking","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2024-01-01,2025-12-31
Hegemonie in Bildung und Wissenschaft,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Session Chair,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2023-10-19,2023-10-21
Sustainable Transformation Lunch,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Wiendl-Stark, Patricia (+2 weitere)",,2024-12-05,2024-12-05
"3. Sommerakademie: Kritik, Einmischung, Protest. Politisches Handeln in der heutigen Zeit","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+4 weitere)",,2012-06-07,2012-06-09
"2. Sommerakademie: Verborgenes Geld, Verheimlichte Macht, Verachtete Arbeit. Offene Geheimnisse des Kapitalismus","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+4 weitere)",,2011-06-23,2011-06-25
"5. Sommerakademie des ICAE mit dem Titel: Arbeit ohne Perspektive? Zwischen Ausbeutung, Arbeitslosigkeit und Selbstbestimmung","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+5 weitere)",,2014-06-13,2014-06-14
4. Sommerakademie des ICAE zum Thema Wissen schaf(f)t Gesellschaft. Neutrale Wissenschaft? Objektive ExpertInnen? Unabhängige Medien?,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+4 weitere)",,2013-06-07,2013-06-08
6. Sommerakademie des ICAE mit dem Titel: Kapitalismus und Gerechtigkeit - Die Rolle der Ungleichheit im 21. Jahrhundert,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+7 weitere)",,2015-06-19,2015-06-20
3. Jahrestagung des ICAE: Demokratie! Welche Demokratie? Postdemokratie kritisch hinterfragt,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+4 weitere)",,2011-12-01,2011-12-03
7. Jahrestagung des ICAE: Ökonomie! Welche Ökonomie? Zu Stand und Status der Wirtschaftswissenschaft,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+8 weitere)",,2015-12-04,2015-12-05
6. Jahrestagung des ICAE: Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+5 weitere)",,2014-12-11,2014-12-13
"5. Jahrestagung des ICAE: Wissen! Welches Wissen? Wahrheit, Theorie und Glauben in der ökonomischen Theorie","Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+4 weitere)",,2013-12-12,2013-12-14
4. Jahrestagung des ICAE: The political Economy of Offshore Jurisdiction,"Organisation von Konferenz, Workshop, ...",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+4 weitere)",,2012-11-29,2012-12-01
Perspektiven einer pluralen Ökonomik,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2017-08-01,2017-08-31
Perspektiven einer pluralen Ökonomik,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-04-01,2017-04-30
Perspektiven einer pluralen Ökonomik,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2017-04-01,2017-04-30
Evangelisches Studienwerk Villigst,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2022-12-01,2022-12-31
Israel Science Foundation (ISF),Gutachter/in für Förderinstitution,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-03-01,2022-03-31
Laudes Foundation,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-10-01,2022-10-31
DFG-Einzelmaßnahme,Gutachter/in für Förderinstitution,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-11-01,2022-11-30
Routledge Frontiers of Political Economy Book Series,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2022-07-01,2022-07-31
Handbook of Complexity Economics,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-07-01,2022-07-31
Marietta Blau Stipendium,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2022-05-01,2022-05-31
Routledge Political Economy Book Series,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-02-01,2019-02-28
Sozioökonomische Bildung und Wissenschaft,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-06-05,2019-06-05
Themenband GSÖBW,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-06-01,2019-06-30
Joan Robinson Prize EAEPE,Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-06-01,2021-06-30
"Routledge, Frontiers of Political Economy",Andere Gutachtertätigkeit,,Gutachtertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2023-02-01,2023-02-28
European Association for Evolutionary Political Economy (EAEPE) (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2024-03-01,
Kontext Institut (Externe Organisation),Sonstige Mitgliedschaft/Funktion,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2024-01-01,2025-01-01
Österreichische Gesellschaft für Soziologie (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2021-01-01,2027-12-31
Association for Evolutionary Economics (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2015-01-01,2024-12-31
American Economic Association (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2019-01-01,2020-12-31
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2018-01-01,2024-12-31
Gesellschaft für sozio*ökonomische Bildung & Wissenschaft (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2019-01-01,2020-12-31
Netzwerk Ökonomische Bildung und Beratung (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2018-01-01,2024-12-31
Complex Systems Society (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2016-01-01,2019-12-31
Forum for Macroeconomics and Macroeconomic Policies (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2015-01-01,2024-12-31
World Interdisciplinary Network for Institutional Research (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2017-01-01,2024-12-31
Momentum Congress Hallstatt (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2008-01-01,2020-12-31
Netzwerk Plurale Ökonomik (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2010-01-01,2024-12-31
