authors,title,year,type,citation,doi
Schütz B.,Creating a pluralist paradigm: An application to the minimum wage debate,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 55, Nr. 1, Seite(n) 103-124, 2021",10.1080/00213624.2021.1874786
Heimberger P.,Does economic globalisation promote economic growth?,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in The World Economy, forthcoming, doi.org/10.1111/twec.13235, 2021",10.1111/twec.13235
Heimberger P.,Does economic globalization affect government spending? A meta-analysis,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in Public Choice, Vol. 187, Seite(n) 349-374, 2021",10.1007/s11127-020-00784-8
Heimberger P.,Does employment protection affect unemployment? A meta-analysis,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in Oxford Economic Papers, Vol. 73, Nr. 3, Seite(n) 982-1007, 2021",10.1093/oep/gpaa037
"Aistleitner M., Pühringer S.",The Trade (Policy) Discourse in Top Economic Journals,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in New Political Economy, Vol. 26, Nr. 5, Seite(n) 748-764, 2021",10.1080/13563467.2020.1841145
"Cordes C., Elsner W., Gräbner C., Heinrich T., Henkel J., Schwardt H., Schwesinger G., Su T.",The collapse of cooperation: The endogeneity of institutional break-up and its asymmetry with emergence,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Evolutionary Economics, Vol. 31, Nr. 4, Seite(n) 1291-1315, 2021",10.1007/s00191-021-00739-2
"Aistleitner M., Gräbner C., Hornykewycz A.",Theory and Empirics of Capability Accumulation: Implications for Macroeconomic Modelling,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in Research Policy, Vol. 50, Nr. 6, e-no. 104258, 2021",10.1016/j.respol.2021.104258
"Gräbner C., Elsner W., Lascaux A.",Trust and Social Control. The Sources of Stability in Informal Value Transfer Systems,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in Computational Economics, Nr. 58, Seite(n) 1077-1102, 2021",10.1007/s10614-020-09994-0
"Gräbner C., Heimberger P., Kapeller J., Springholz F.",Understanding economic openness: A review of existing measures,2021,Aufsatz / Paper in SSCI-Zeitschrift,", in Review of World Economics, Vol. 157, Nr. 1, Seite(n) 87-120, 2021",10.1007/s10290-020-00391-1
Heimberger P.,Does economic globalisation affect income inequality? A meta-analysis,2020,Aufsatz / Paper in SSCI-Zeitschrift,", in The World Economy, Seite(n) 1-23, 2020",10.1111/twec.13007
"Pühringer S., Griesser M.",From the ʻplanning euphoriaʼ to the ʻbitter economic truthʼ: The Transmission of economic ideas into German Labour Market Policies in the 1960s and 2000s,2020,Aufsatz / Paper in SSCI-Zeitschrift,", in Critical Discourse Studies, Vol. 17, Nr. 5, Seite(n) 476-493, 2020",10.1080/17405904.2019.1681283
"Gräbner C., Heimberger P., Kapeller J., Schütz B.","Is the Eurozone disintegrating? Macroeconomic divergence, structural polarization, trade and fragility",2020,Aufsatz / Paper in SSCI-Zeitschrift,", in Cambridge Journal of Economics, Vol. 44, Nr. 3, Seite(n) 647-669, 2020",10.1093/cje/bez059
"Gräbner C., Strunk B.",Pluralism in economics: its critiques and their lessons,2020,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Methodology, Vol. 27, Nr. 4, Seite(n) 311-329, 2020",10.1080/1350178X.2020.1824076
"Gräbner C., Heimberger P., Kapeller J., Schütz B.",Structural change in times of increasing openness: assessing path dependency in European economic integration,2020,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Evolutionary Economics, Vol. 30, Nr. 5, Seite(n) 1467-1495, 2020",10.1007/s00191-019-00639-6
Heimberger P.,The dynamic effects of fiscal consolidation episodes on income inequality: Evidence for 17 OECD countries over 1978-2013,2020,Aufsatz / Paper in SSCI-Zeitschrift,", in Empirica, Vol. 47, Seite(n) 53-81, 2020",10.1007/s10663-018-9404-z
"Heimberger P., Huber J., Kapeller J.",The power of economic models: The case of the EU's fiscal regulation framework,2020,Aufsatz / Paper in SSCI-Zeitschrift,", in Socio-Economic Review, Vol. 18, Nr. 2, Seite(n) 337-366, 2020",10.1093/ser/mwz052
"Aistleitner M., Kapeller J., Steinerberger S.",Citation Patterns in Economics and Beyond: Assessing the Peculiarities of Economics from Two Scientometric Perspectives,2019,Aufsatz / Paper in SSCI-Zeitschrift,", in Science in Context, Vol. 32, Nr. 4, Seite(n) 361-380, 2019",10.1017/S0269889720000022
"Gräbner C., Bale C., Furtado B., Alvarez-Pereira B., Gentile J., Henderson H., Lipari F.",Getting the Best of Both Worlds? Developing Complementary Equation-Based and Agent-Based Models,2019,Aufsatz / Paper in SSCI-Zeitschrift,", in Computational Economics, Vol. 53, Nr. 2, Seite(n) 763-782, 2019",10.1007/s10614-017-9763-8
"Kapeller J., Meyer D.",Introduction: change and persistence in contemporary economics,2019,Aufsatz / Paper in SSCI-Zeitschrift,", in Science in Context, Vol. 32, Nr. 4, Seite(n) 357-360, 2019",10.1017/S0269889720000010
"Landesmann M., Kapeller J., Mohr F., Schütz B.","Government policies and financial crises: mitigation, postponement or prevention?",2018,Aufsatz / Paper in SSCI-Zeitschrift,", in Cambridge Journal of Economics, Vol. 42, Nr. 2, Seite(n) 309-330, 2018",10.1093/cje/bew073
Gräbner C.,How to Relate Models to Reality? An Epistemological Framework for the Validation and Verification of Computational Models,2018,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Artificial Societies and Social Simulation, Vol. 21, Nr. 3, 2018",10.18564/jasss.3772
"Kapeller J., Dobusch L.",Open strategy-making with crowds and communities: Comparing Wikimedia and Creative Commons,2018,Aufsatz / Paper in SSCI-Zeitschrift,", in Long Range Planning, Vol. 51, Nr. 4, Seite(n) 561-579, 2018",10.1016/j.lrp.2017.08.005
"Aistleitner M., Kapeller J., Steinerberger S.",The Power of Scientometrics and the Development of Economics,2018,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 52, Nr. 3, Routledge, Seite(n) 816-834, 2018",10.1080/00213624.2018.1498721
"Gräbner C., Elsner W., Lascaux A.",To trust or to control: Informal value transfer systems and computational analysis in institutional economics,2018,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 52, Nr. 2, Seite(n) 559-569, 2018",10.1080/00213624.2018.1469936
Heimberger P.,Did Fiscal Consolidation Cause the Double-Dip Recession in the Euro Area?,2017,Aufsatz / Paper in SSCI-Zeitschrift,", in Review of Keynesian Economics, Vol. 5, Nr. 3, Seite(n) 439-458, 2017",10.4337/roke.2017.03.06
Griesser M.,Images and imaginaries of unemployed people. Discursive shifts in the transition from active to activating labour market policies in Germany,2017,Aufsatz / Paper in SSCI-Zeitschrift,", in Critical Social Policy, Seite(n) [online first], 2017",10.1177/0261018317727481
"Ötsch W., Pühringer S.",Right-wing populism and market-fundamentalism. Two mutually reinforcing threats to democracy in the 21st century,2017,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Language and Politics, Vol. 16, Nr. 4, Seite(n) 497-509, 2017",10.1075/jlp.17027.ots
Gräbner C.,The Complementary Relationship Between Institutional and Complexity Economics: The Example of Deep Mechanismic Explanations,2017,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 51, Nr. 2, Seite(n) 392-400, 2017",10.1080/00213624.2017.1320915
"Heimberger P., Kapeller J., Schütz B.",The NAIRU determinants: what’s structural about unemployment in Europe?,2017,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Policy Modeling, Vol. 39, Nr. 5, Seite(n) 883-908, 2017",10.1016/j.jpolmod.2017.04.003
"Heimberger P., Kapeller J.",The performativity of potential output: Pro-cyclicality and path dependency in coordinating European fiscal policies,2017,Aufsatz / Paper in SSCI-Zeitschrift,", in Review of International Political Economy, Vol. 24, Nr. 5, Seite(n) 904-928, 2017",10.1080/09692290.2017.1363797
Gräbner C.,Agent-based computational models - a formal heuristic for institutionalist pattern modelling?,2016,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Institutional Economics, Vol. 12, Nr. 1, Seite(n) 241-261, 2016",10.1017/S1744137415000193
"Eckerstorfer P., Halak J., Kapeller J., Schütz B., Springholz F., Wildauer R.",Correcting for the Missing Rich: An Application to Wealth Survey Data,2016,Aufsatz / Paper in SSCI-Zeitschrift,", in Review of Income and Wealth, Vol. 62, Nr. 4, Seite(n) 605-627, 2016",10.1111/roiw.12188
"Kapeller J., Steinerberger S.",Emergent Phenomena in Scientific Publishing: A Simulation Exercise,2016,Aufsatz / Paper in SSCI-Zeitschrift,", in Research Policy, Vol. 45, Nr. 10, Seite(n) 1945–1952, 2016",10.1016/j.respol.2016.08.004
"Álvarez Pereira B., Henderson H., Lipari F., Furtado B., Bale C., Gräbner C., Gentile J.",Errata in 'The Political Economy of the Kuznets Curve',2016,Aufsatz / Paper in SSCI-Zeitschrift,", in Review of Development Economics, Vol. 20, Nr. 4, Seite(n) 817-819, 2016",10.1111/rode.12285
"Kapeller J., Schütz B.","Conspicuous Consumption, Inequality and Debt: The Nature of Consumption-driven Profit-led Regimes",2015,Aufsatz / Paper in SSCI-Zeitschrift,", in Metroeconomica, Vol. 66, Nr. 1, Seite(n) 51-70, 2015",10.1111/meca.12061
"Gräbner C., Kapeller J.","New Perspectives on  Institutionalist Pattern Modeling: Systemism, Complexity and  Agent-Based modeling",2015,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 49, Nr. 2, Seite(n) 433-440, 2015",10.1080/00213624.2015.1042765
"Pühringer S., Hirte K.",The financial crisis as a heart attack: Discourse profiles of economists in the financial crisis,2015,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Language and Politics, Vol. 14, Nr. 4, Seite(n) 599-626, 2015",10.1075/jlp.14.4.06puh
"Kapeller J., Steinerberger S.",Modeling the Evolution of Preferences: An Answer to Schubert and Cordes,2014,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Institutional Economics, Vol. 10, Nr. 2, Seite(n) 337-347, 2014",10.1017/S1744137413000362
"Kapeller J., Schütz B.",Exploring Pluralist Economics: The Case of the Minsky-Veblen Cycles,2013,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 47, Nr. 2, Seite(n) 515-524, 2013",10.2753/JEI0021-3624470225
Kapeller J.,Model-Platonism in Economics: On a classical epistemological critique,2013,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Institutional Economics, Vol. 9, Nr. 2, Seite(n) 199-221, 2013",10.1017/S1744137413000052
"Dobusch L., Kapeller J.",Practicing Pluralism: A Rejoinder to W. Robert Brazelton,2013,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 47, Nr. 4, Seite(n) 1035-1037, 2013",
"Kapeller J., Wolkenstein F.",The grounds of solidarity: From liberty to loyalty,2013,Aufsatz / Paper in SSCI-Zeitschrift,", in European Journal of Social Theory, Vol. 16, Nr. 4, Seite(n) 476-491, 2013",10.1177/1368431013479689
"Kapeller J., Schütz B., Steinerberger S.",The impossibility of rational consumer choice - A problem and its solution,2013,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Evolutionary Economics, Vol. 23, Nr. 1, Seite(n) 39-60, 2013",10.1007/s00191-012-0268-2
"Dobusch L., Kapeller J.",Heterodox United vs. Mainstream City? Sketching a framework for interested pluralism in economics,2012,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 46, Nr. 4, Seite(n) 1035-1057, 2012",10.2753/JEI0021-3624460410
Kapeller J.,"Citation Metrics: Serious drawbacks, perverse incentives and strategic options for heterodox economics",2010,Aufsatz / Paper in SSCI-Zeitschrift,", in American Journal of Economics and Sociology, Vol. 69, Nr. 5, Seite(n) 1376-1408, 2010",10.1111/j.1536-7150.2010.00750.x
Kapeller J.,Some critical notes on citation metrics and heterodox economics,2010,Aufsatz / Paper in SSCI-Zeitschrift,", in Review of Radical Political Economics, Vol. 42, Nr. 3, Seite(n) 330-337, 2010",10.1177/0486613410377855
"Dobusch L., Kapeller J.",Why is Economics not an Evolutionary Science? New Answers to Veblen's old Question.,2009,Aufsatz / Paper in SSCI-Zeitschrift,", in Journal of Economic Issues, Vol. 43, Nr. 4, Seite(n) 867-898, 2009",10.2753/jei0021-3624430403
Ötsch W.,Rechtspopulismus: Ein Gesellschaftsbild mit eskalierender Wirkung,2018,Aufsatz / Paper in AHCI-Zeitschrift,", in Salzburger Theologische Zeitschrift, Vol. 21, Nr. 1, Seite(n) 7-22, 2018",
Ötsch W.,Imaginative Grundlagen bei Adam Smith. Aspekte von Bildlichkeit und ihrem Verlust in der Geschichte der Ökonomik,2016,Aufsatz / Paper in AHCI-Zeitschrift,", in Allgemeine Zeitschrift für Philosophie, Vol. 41, Nr. 3, Seite(n) 315-340, 2016",
"Buyinza F., Kapeller J., Senono V., Anber M.",Differential impacts of electricity access on educational outcomes: Evidence from Uganda,2024,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Electricity Journal, Vol. 37, Nr. 1, Seite(n) 1-10, 2024",10.1016/j.tej.2023.107362
"Steffestun T., Ötsch W.",Economization: The (re-)organization of knowledge and ignorance according to ‘the market’,2023,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in ephemera, Vol. 23, Nr. 1, Seite(n) 133-159, 2023",
"Hubmann G., Kapeller J.",Rezension zu Markus Marterbauer/Martin Schürz: Angst und Angstmacherei,2023,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in WISO – Wirtschafts- und Sozialpolitische Zeitschrift des ISW, Vol. 46, Nr. 1, Seite(n) 102-109, 2023",
"Aistleitner M., Pühringer S.",The Social Field of Elite Trade Economists: A Quantitative Social Studies of Economics Perspective,2023,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Oeconomia, Vol. 13, Nr. 2, Seite(n) 475-515, 2023",
Porak L.,"Wettbewerbsfähige Nachhaltigkeit: eine Historisch-Materialistische Analyse der Ideen, Institutionen und Machtverhältnisse in der europäischen grünen Transformation",2023,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Momentum Quarterly, Vol. 12, Nr. 1, Seite(n) 65-83, 2023",10.15203/momentumquarterly.vol12.no1.p65-83
"Heimberger P., Schütz B.",Die Budgetsemielastizität und ihre Auswirkungen auf Verschuldungsspielräume im Rahmen der Schuldenbremse,2022,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Wirtschaftsdienst, Vol. 102, Nr. 11, Seite(n) 834-837, 2022",10.1007/s10273-022-3325-y
"Kapeller J., Hubmann G.",Notizen zum ökonomischen Element in der politischen Doktrinbildung,2022,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Zeitschrift für Wirtschafts- und Unternehmensethik, Vol. 23, Seite(n) 34-37, 2022",
"Gräbner-Radkowitsch C., Tamesberger D., Heimberger P., Kapelari T., Kapeller J.",Trade Models in the European Union,2022,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Economic Annals, Vol. 67, Nr. 235, Seite(n) 7-36, 2022",
"Kapeller J., Wildauer R.",A Fitting Pareto tails to wealth survey data: A practitioners’ guide,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Journal of Income Distribution, 2021",10.25071/1874-6322.40447
Kapeller J.,Intangible Flow Theory: A New Way for Conceptualizing Embeddedness?,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Accounting, Economics and Law, Vol. 14, Nr. 1, Seite(n) 159-164, 2021",
"Gräbner C., Heinrich T.",Introduction to the symposium: The Complexity of Institutions: Theory and Computational Models,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Forum for Social Economics, Vol. 50, Nr. 2, Seite(n) 153-156, 2021",
"Pühringer S., Rath J.",Monopolies in Science Publishing. A Black Hole for Public Spending?,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Journal of Management Information and Decision Sciences, Vol. 24, Nr. 6, Seite(n) 1-5, 2021",
Kapeller J.,Polarisierung oder Konvergenz? Zur ökonomischen Zukunft des vereinten Europas,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in WISO direkt (Analysen und Konzepte zur Wirtschafts- und Sozialpolitik), 2021",
"Kapeller J., Gräbner C.",Standortwettbewerb und Deindustrialisierung: Das Beispiel MAN als Lehrbuchfall,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in WISO - Wirtschafts- und sozialpolitische Zeitschrift, Vol. 44, Nr. 4, Seite(n) 34-52, 2021",
"Porak L., Schröter G.",Strategien für einen Wandel der ökonomischen Lehre,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Forschungsjournal Soziale Bewegungen, Vol. 34, Nr. 4, Seite(n) 718-729, 2021",
Hirte K.,Unternehmenskonzentrationen in der Fleischbranche und die performative Rolle der Agrarökonomik,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in ÖZS - Österreichische Zeitschrift für Soziologie, Vol. 46, Nr. 2, Seite(n) 187-206, 2021",10.1007/s11614-021-00448-x
"Kapeller J., Rehm M.",Vom empiristischen Humanismus zum partizipativen Sozialismus – Review von Thomas Piketty ‚Kapital und Ideologie‘,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Soziologische Revue, Vol. 44, Nr. 1, Seite(n) 25-33, 2021",
Heimberger P.,What is structural about unemployment in OECD countries?,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Review of Social Economy, Vol. 79, Nr. 2, Seite(n) 380-412, 2021",10.1080/00346764.2019.1678067
Pühringer S.,Zur Pluralität in der ökonomischen Politikberatung in Deutschland. Eine empirische Untersuchung,2021,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Leviathan - Berliner Zeitschrift für Sozialwissenschaft, Vol. 49, Seite(n) 243-265, 2021",
"Gräbner C., Heimberger P., Kapeller J.",Pandemic pushes polarisation: the Corona crisis and macroeconomic divergence in the Eurozone,2020,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Journal of Industrial and Business Economics, Vol. 47, Nr. 3, Seite(n) 425-438, 2020",10.1007/s40812-020-00163-w
"Kapeller J., Wildauer R., Heck I.",Vermögenskonzentration in Österreich: Ein Update auf Basis des HFCS 2017,2020,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Wirtschaft und Gesellschaft, Nr. 206, Seite(n) 1-38, 2020",
Heimberger P.,"Arbeitsmarktinstitutionen, Kapitalakkumulation und Arbeitslosigkeit in OECD-Ländern, Wirtschaft und Gesellschaft",2019,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Wirtschaft und Gesellschaft, Vol. 45, Nr. 1, 2019",
"Heinrich T., Gräbner C.",Beyond equilibrium: revisiting two-sided markets from an agent-based modelling perspective,2019,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in International Journal of Computational Economics and Econometrics, Vol. 9, Nr. 3, Seite(n) 153-180, 2019",10.1504/ijcee.2019.100558
Griesser M.,Deutungsrahmen der aktiven Arbeitsmarktpolitik: ein deutsch-österreichischer Vergleich von diskursiven Frames aus Anlass von 50 Jahren Arbeits(markt)förderungsgesetz,2019,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Momentum Quarterly, Vol. 8, Nr. 3, Seite(n) 166-182, 2019",10.15203/momentumquarterly.vol8.no3.p166-182
Grimm C.,Ideas have Consequences: Eine vergleichende Analyse zur transformativen Rolle von Ideen.,2019,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Momentum Quarterly, Vol. 8, Nr. 4, Seite(n) 183-247, 2019",10.15203/momentumquarterly.vol8.no4.p215-229
"Flechtner S., Gräbner C.",The heterogeneous relationship between income and inequality: a panel co-integration approach,2019,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Economics Bulletin, Vol. 39, Nr. 4, Seite(n) 2540–2549, 2019",
"Pühringer S., Bäuerle L.",What economics education is missing: the real world,2019,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in International Journal of Social Economics, Vol. 46, Nr. 8, Seite(n) 977-991, 2019",10.1108/IJSE-04-2018-0221
"Ötsch W., Graupe S., Loske R.","’Erkühne Dich, weise zu sein!‘ Grundlegung einer Gemeinsinn-Ökonomie",2019,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in GWP - Gesellschaft, Wirtschaft, Politik, Vol. 68, Nr. 2, Seite(n) 243-250, 2019",
Gräbner C.,Formal Approaches to Socio-economic Analysis - Past and Perspectives,2018,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Forum for Social Economics, Vol. 47, Nr. 1, Seite(n) 32-63, 2018",
"Beyer K., Pühringer S.",Freiheitliche Flügelkämpfe? (Historische) Konfliktlinien in der FPÖ,2018,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in BEIGEWUM, in Kurswechsel, Nr. 3, Seite(n) 19-27, 2018",
"Pühringer S., Ötsch W.",Neoliberalism and Right-wing Populism: conceptual analogies,2018,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Forum for Social Economics, Vol. 47, Nr. 2, Seite(n) 192-203, 2018",
"Gräbner C., Heinrich T., Kudic M., Vermeulen B.",The dynamics of and on networks: an introduction,2018,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in International Journal of Computational Economics and Econometrics, Vol. 8, Nr. 3/4, Seite(n) 229-241, 2018",
"Griesser M., Brand U.",Wachstum? Wohlstand und Lebensqualität!,2018,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Momentum Quarterly, Vol. 7, Nr. 2, Seite(n) 53-72, 2018",
Grimm C.,Wirtschaftspolitische Positionen österreichischer Parteien im historischen Verlauf. Die Ausgestaltung österreichischer Parteiprogrammatiken hinsichtlich neoliberalen Gedankenguts,2018,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Momentum Quarterly, Vol. 7, Nr. 3, Seite(n) 136-154, 2018",10.15203/momentumquarterly.vol7.no3.p136-154
"Kapeller J., Ferschli B., Schütz B., Wildauer R.",Bestände und Konzentration privater Vermögen in Österreich,2017,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Arbeiterkammer Wien, in Wirtschaft und Gesellschaft, Vol. 43, Nr. 4, Seite(n) 499-534, 2017",
Gräbner C.,The Complexity of Economies and Pluralism in Economics,2017,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in Journal of Contextual Economics, Vol. 137, Nr. 3, Seite(n) 193-225, 2017",
"Gräbner C., Heinrich T.",Von Onlineplattformen und mittelalterlichen Märkten - Gleichgewichtsmodelle und agentenbasierte Modellierung zweiseitiger Märkte,2017,Aufsatz / Paper in sonstiger referierter Fachzeitschrift,", in TATuP - Zeitschrift für Technikfolgenabschätzung in Theorie und Praxis, Vol. 26, Nr. 3, Seite(n) 23-29, 2017",
